respnum_V1,respcat_V3,respnum_PAYS,respnum_SEX,respnum_AGE,respnum_SexRec,x1,x2,x3,x4,x5,respnum_YEAR
5900,40,1,2,43,1,2,4,4,2,2,2012
5900,40,1,2,40,1,2,3,1, , ,2012
5900,40,1,2,70,1,4,4,4,2,2,2012
5900,40,1,2,76,1,5,5,4,3,2,2012
5900,40,1,2,41,1,1,3,1,2,2,2012
5900,40,1,2,38,1,1,4,2,2,1,2012
5900,40,1,2,38,1,1,1,1,2,1,2012
5900,40,1,1,41,-1,4,5,4,3,2,2012
5900,40,1,2,86,1,2,4,5,3,2,2012
5900,40,1,2,64,1,5,2,4,3,3,2012
5900,40,1,2,27,1,3,5,3,2,2,2012
5900,40,1,1,28,-1,3,4,2,3,3,2012
5900,40,1,2,34,1,4,4,5,2,2,2012
5900,40,1,2,26,1,3,3,2,2,1,2012
5900,40,1,1,71,-1,2,4,2,3,2,2012
5900,40,1,1,58,-1,3,4,3, , ,2012
5900,40,1,2,31,1,1,2,2,3,2,2012
5900,40,1,2,74,1,2,2,2,3,2,2012
5900,40,1,1,49,-1,4,3,2,3,2,2012
5900,40,1,2,44,1,5,1,4,3,3,2012
5900,40,1,2,57,1,4,4,3,3,2,2012
5900,40,1,1,58,-1,3,4,3,2,1,2012
5900,40,1,2,35,1,3,2,1,2,1,2012
5900,40,1,1,58,-1,4,3,1,2,2,2012
5900,40,1,1,62,-1, ,4, ,2, ,2012
5900,40,1,2,70,1,2,2,3,2,2,2012
5900,40,1,2,22,1,5,5,3,3,2,2012
5900,40,1,1,43,-1,5,5,1,1,1,2012
5900,40,1,1,36,-1,3,4,3,3,2,2012
5900,40,1,1,42,-1,2,4,2,2,1,2012
5900,40,1,1,69,-1,5,5,5,3,3,2012
5900,40,1,2,55,1,3,3,2,2,1,2012
5900,40,1,1,45,-1,3,2,4,3,1,2012
5900,40,1,1,74,-1,5,4,5,3,2,2012
5900,40,1,2,38,1,4,3,2,3,2,2012
5900,40,1,2,55,1,4,4,4,2,2,2012
5900,40,1,1,38,-1,5,4,5,3,2,2012
5900,40,1,2,54,1,4,3,2, ,2,2012
5900,40,1,1,56,-1,4,4,5,3,2,2012
5900,40,1,2,24,1,5,4,4,3,2,2012
5900,40,1,1,37,-1,2,2,4,2,1,2012
